annee_scolaire;Ordre_CRE;Nom_CRE;Niveau_scolaire;Sexe;Effectif_eleves
2021/2022;1;Tunis 1;1ère année primaire;Masculin;3238
2021/2022;1;Tunis 1;2ème année primaire;Masculin;3402
2021/2022;1;Tunis 1;3ème année primaire;Masculin;3452
2021/2022;1;Tunis 1;4ème année primaire;Masculin;3580
2021/2022;1;Tunis 1;5ème année primaire;Masculin;3407
2021/2022;1;Tunis 1;6ème année primaire;Masculin;3301
2021/2022;2;Tunis 2;1ère année primaire;Masculin;3400
2021/2022;2;Tunis 2;2ème année primaire;Masculin;3523
2021/2022;2;Tunis 2;3ème année primaire;Masculin;3665
2021/2022;2;Tunis 2;4ème année primaire;Masculin;3701
2021/2022;2;Tunis 2;5ème année primaire;Masculin;3508
2021/2022;2;Tunis 2;6ème année primaire;Masculin;3494
2021/2022;3;Ariana;1ère année primaire;Masculin;4279
2021/2022;3;Ariana;2ème année primaire;Masculin;4293
2021/2022;3;Ariana;3ème année primaire;Masculin;4580
2021/2022;3;Ariana;4ème année primaire;Masculin;4405
2021/2022;3;Ariana;5ème année primaire;Masculin;4272
2021/2022;3;Ariana;6ème année primaire;Masculin;4113
2021/2022;4;Mannouba;1ère année primaire;Masculin;3072
2021/2022;4;Mannouba;2ème année primaire;Masculin;3203
2021/2022;4;Mannouba;3ème année primaire;Masculin;3432
2021/2022;4;Mannouba;4ème année primaire;Masculin;3216
2021/2022;4;Mannouba;5ème année primaire;Masculin;3189
2021/2022;4;Mannouba;6ème année primaire;Masculin;3052
2021/2022;5;Ben Arous;1ère année primaire;Masculin;5300
2021/2022;5;Ben Arous;2ème année primaire;Masculin;5242
2021/2022;5;Ben Arous;3ème année primaire;Masculin;5621
2021/2022;5;Ben Arous;4ème année primaire;Masculin;5501
2021/2022;5;Ben Arous;5ème année primaire;Masculin;5157
2021/2022;5;Ben Arous;6ème année primaire;Masculin;4955
2021/2022;6;Zaghouan;1ère année primaire;Masculin;2094
2021/2022;6;Zaghouan;2ème année primaire;Masculin;2141
2021/2022;6;Zaghouan;3ème année primaire;Masculin;2160
2021/2022;6;Zaghouan;4ème année primaire;Masculin;1911
2021/2022;6;Zaghouan;5ème année primaire;Masculin;1946
2021/2022;6;Zaghouan;6ème année primaire;Masculin;1701
2021/2022;7;Bizerte;1ère année primaire;Masculin;4796
2021/2022;7;Bizerte;2ème année primaire;Masculin;5056
2021/2022;7;Bizerte;3ème année primaire;Masculin;5453
2021/2022;7;Bizerte;4ème année primaire;Masculin;5158
2021/2022;7;Bizerte;5ème année primaire;Masculin;4890
2021/2022;7;Bizerte;6ème année primaire;Masculin;4798
2021/2022;8;Béja;1ère année primaire;Masculin;2677
2021/2022;8;Béja;2ème année primaire;Masculin;2723
2021/2022;8;Béja;3ème année primaire;Masculin;2952
2021/2022;8;Béja;4ème année primaire;Masculin;2769
2021/2022;8;Béja;5ème année primaire;Masculin;2790
2021/2022;8;Béja;6ème année primaire;Masculin;2476
2021/2022;9;Jendouba;1ère année primaire;Masculin;3330
2021/2022;9;Jendouba;2ème année primaire;Masculin;3354
2021/2022;9;Jendouba;3ème année primaire;Masculin;3660
2021/2022;9;Jendouba;4ème année primaire;Masculin;3334
2021/2022;9;Jendouba;5ème année primaire;Masculin;3378
2021/2022;9;Jendouba;6ème année primaire;Masculin;3134
2021/2022;10;Siliana;1ère année primaire;Masculin;2079
2021/2022;10;Siliana;2ème année primaire;Masculin;2256
2021/2022;10;Siliana;3ème année primaire;Masculin;2383
2021/2022;10;Siliana;4ème année primaire;Masculin;2178
2021/2022;10;Siliana;5ème année primaire;Masculin;2117
2021/2022;10;Siliana;6ème année primaire;Masculin;1986
2021/2022;11;Le Kef;1ère année primaire;Masculin;2004
2021/2022;11;Le Kef;2ème année primaire;Masculin;2053
2021/2022;11;Le Kef;3ème année primaire;Masculin;2193
2021/2022;11;Le Kef;4ème année primaire;Masculin;2061
2021/2022;11;Le Kef;5ème année primaire;Masculin;1919
2021/2022;11;Le Kef;6ème année primaire;Masculin;1860
2021/2022;12;Kasserine;1ère année primaire;Masculin;5947
2021/2022;12;Kasserine;2ème année primaire;Masculin;5663
2021/2022;12;Kasserine;3ème année primaire;Masculin;5629
2021/2022;12;Kasserine;4ème année primaire;Masculin;5040
2021/2022;12;Kasserine;5ème année primaire;Masculin;4795
